Metric,Original_mean,Holistic_mean,Linguistic_mean,Shapiro_p,p_value,Effect_size,Test,Better
TTR,0.555,0.54,0.581,0.0135,0.0152,-0.5,Wilcoxon,Holistic
LD,0.504,0.479,0.499,0.0001,0.0136,-0.6,Wilcoxon,Holistic
WR,0.493,0.455,0.469,0.0,0.0054,-0.6,Wilcoxon,Holistic
MDD,2.797,2.418,2.424,0.0046,0.8813,0.2,Wilcoxon,Holistic
SI,0.304,0.305,0.355,0.2524,0.0599,-0.45,t-test,Holistic
Cross,4.55,2.5,2.4,0.2682,0.9115,0.03,t-test,Linguistic
WSF,6.128,4.623,4.647,0.4942,0.8492,-0.04,t-test,Holistic
LIX,49.579,41.01,40.628,0.0833,0.7355,0.08,t-test,Linguistic
FRE,40.368,55.34,54.812,0.5855,0.7181,0.08,t-test,Holistic
Fog,15.704,12.156,12.338,0.2245,0.5701,-0.13,t-test,Holistic
